=== Tool Life Management ===
Title	Tool Master	Tool Record	Month	Customer Type	Year	No of Parts	Machine clamping force (T)	Tooling cost	Currency	Tool description	Master Type	Warranty (Parts)	Tool Owner	Type of Sprue	Overall Cycle time (s)	Type of press	Standard daily capacity (Parts)	Max daily capacity (Parts)	Part Gross Weight (g)	Part Net Weight (g)	Strip width (mm)	Pitch (mm)	Lead Time (months)	Plant	Tool Type	Plant:Title	Plant:Site	Tool Type:Title	End_of_production	EOP	ID	Created	Modified	MasterRecord	ParentTitle	ToolCurrentStatus	Data	Created By	Modified By	TestCurrency	Property	Part per cycle	PartNumberReference	PartReference	Tool Maker	Warranty Alert	Attachments 
ST-2012-02-80-504					2012	2	504.0			Guide Charbon MNG2 Evolution 		2000000000	VALEO			V	237600.0							AVO El Fahs	Stamping			ST								In use								A60110800			
TP-2003-16-35-222					2003	16	222.0			Connecteur traversant 3 voies		32000000	VALEO				53169.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A53841977			
TP-2003-08-50-223					2003	8	223.0			Retainer de balais MNG2 / MNG3 		8000000	VALEO				19200.0							AVO El Fahs	Thermoplastic Injection			TP								Mold scraped											
TP-2013-16-110-529					2013	16	529.0	12500	EURO	Retainer de balais MNG2 / MNG3 		38881792	VALEO	HR on mini sprue		H	38400.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A53842867			
ST-1999-02-100-214					1999	2	214.0			Piste MNG2 3L/3C		20000000	VALEO			V	72000.0						4.14	AVO El Fahs	Stamping			ST								In use								A53221007			
ST-2001-03-63-183					2001	3	183.0			Plaquette Bakelite MNG3		30000000	VALEO				129600.0						2.99	AVO El Fahs	Stamping			ST								In use								A53290737			
ST-2003-02-80-225					2003	2	225.0			PISTE PPC MNG3 STANDARD		48000000	VALEO			V	288000.0						4.14	AVO El Fahs	Stamping			ST								In use											
TP-2002-08-35-226					2002	8	226.0			Support à Borne MNG3		8000000	VALEO	Cold runner		H	23040.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A53842147			
TP-2012-08-130-530					2012	8	530.0			Platine Plastique		10334984	VALEO	HR on sprue		H	20329.0						4.14	AVO El Fahs	Thermoplastic Injection			TP								In use								A53844627			
TP-2002-08-130-227					2002	8	227.0	30000	EURO	Platine Plastique		8000000	VALEO	Cold runner		H	20329.0						4.14	AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A53844627			
ST-2003-02-50-136					2003	2	136.0	84500	EURO	Piste Fisrt		15000000	AVO			V	61714.0						4.14	AVO El Fahs	Stamping			ST								In use								A53221597			
TP-2006-08-130-347					2006	8	347.0			Boitier Plastique Dual (Chatellerault)		8000000	VALEO			H	20329.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100385			
ST-2006-01-25-348					2006	1	348.0			Contact Plate Dual		100000000	VALEO			V	120000.0						2.99	AVO El Fahs	Stamping			ST								In use								A60100386			
ST-2006-02-25-383					2006	2	383.0			Frein Dual		200000000	VALEO			V	120000.0						3.22	AVO El Fahs	Stamping			ST								In use								A60100387			
ST-2007-02-50-254					2007	2	254.0			Guide Balais Dual Motor		200000000	VALEO			V	72000.0						3.22	AVO El Fahs	Stamping			ST								In use								A60100388			
ST-2007-02-50-716					2007	2	716.0			Languette		200000000	NIDEC			V	72000.0						2.76	AVO El Fahs	Stamping			ST								In use								A60110191			
TP-2009-08-75-452					2009	8	452.0			Boitier Plastique Flex		14141000	VALEO				20329.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101088			
TP-2009-08-75-463					2009	8	463.0			Boitier Plastique Flex		0	VALEO				20329.0							AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A60101260			
ST-2010-01-25-464					2010	1	464.0			PISTE FLEX - 2 versions 83/84 et 84/82/85		10000000	VALEO			V	43200.0						3.22	AVO El Fahs	Stamping			ST								In use								A60101405, A60101406			
ST-2012-01-40-531					2012	1	531.0			PISTE FLEX - 2 versions 83/84 et 84/82/85		16000000	VALEO			V	28800.0						3.22	AVO El Fahs	Stamping			ST								In use								A60101405			
ST-2012-01-40-532					2012	1	532.0					0	VALEO			V	28800.0							AVO El Fahs	Stamping			ST								In use								A60101406			
ST-2011-02-35-465					2011	2	465.0			Lame Flex		20000000	VALEO			V	432000.0						2.76	AVO El Fahs	Stamping			ST								In use											
ST-2009-03-63-253					2009	3	253.0			Plaquette Bakelite VM4		9000000	VALEO			V	129600.0						2.99	AVO El Fahs	Stamping			ST								Production end								A60101132, 53-0521, 53-0523, 53-0570, 53-0574, 53-0578, 53-0600A, 53-0634A, 53-0635A			
TP-XXXX-08-110-825					XXXX	8	825.0			Ring		1600000	HILTI	Cold runner		H							3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60110758			
TP-2005-01-50-826					2005	1	826.0			Deckel		200000	HILTI			H							2.53	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100251			
TP-2012-16-100-505					2012	16	505.0			Pin		4800000	HILTI			H	28800.0						2.76	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100335			
TP-2012-16-100-					2012	16						0	HILTI			H								AVO El Fahs	Thermoplastic Injection			TP								In use								A60100183			
TP-2011-16-110-506					2011	16	506.0			Retainer SW4/VM4		16000000	AVO			H	31418.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100532			
ST-2009-01-50-677					2009	1	677.0			Terminal Power Plug		20000000	VALEO			V	21600.0						3.22	AVO El Fahs	Stamping			ST								In use								A60101133			
ST-2010-01-25-466					2010	1	466.0			Terminal Power Plug		80000000	VALEO			V	108000.0						2.76	AVO El Fahs	Stamping			ST								In use								A60101133			
TP-2010-08-180-467					2010	8	467.0			Boitier version Continue		8000000	VALEO			H	24686.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A60101134			
TP-2010-08-180-468					2010	8	468.0			Boitier version Reversible		8000000	VALEO			H	20329.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101136			
TP-XXXX-08-110-103					XXXX	8	103.0			Trico retainer		4000000	TRICO			H	11520.0						3.22	AVO Kunshan	Thermoplastic Injection			TP								In use								T21110011			
TP-XXXX-16-50-102					XXXX	16	102.0			Connecteur traversant 3 voies		8000000	VALEO	Cold runner		H	46080.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A53841977			
TP-2011-08-180-507					2011	8	507.0			SW4 Housing		2800000	VALEO			H	13824.0						2.99	AVO Kunshan	Thermoplastic Injection			TP								Mold scraped								A10210003			
TP-2010-08-180-469					2010	8	469.0			Boitier version Continue		5600000	AVO			H	12800.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101134, V11510001			
TP-2010-08-180-470					2010	8	470.0			Boitier version Reversible		5600000	AVO			H	9874.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101136			
ST-2010-02-60-471					2010	2	471.0			Lead Frame		14000000	VALEO			V	172800.0						3.45	AVO El Fahs	Stamping			ST								In use								A60101135			
ST-2010-01-80-472					2010	1	472.0			Contact Bronze		8000000	VALEO			V	28800.0						2.99	AVO El Fahs	Stamping			ST								In use								A60100540			
ST-2010-01-80-473					2010	1	473.0			Brush Holder VM4 (version with door closed)		20000000	VALEO			V	43200.0						4.14	AVO El Fahs	Stamping			ST								In use								A60100531			
TP-2012-04-200-533					2012	4	533.0			Platine connecteur H/AH		4000000	VALEO	Cold sprue		H	7855.0						4.37	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101521			
TP-2010-04-100-474					2010	4	474.0			Outillage Connecteur Uno Palio et Bresil		2000000	VALEO	cold runner		H	6912.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101150, A60101152			
TP-2002-04-50-228					2002	4	228.0			Boitier Plastique		0	VALEO				13292.0							AVO El Fahs	Thermoplastic Injection			TP								In use								A60100455			
TP-2013-04-50-534					2013	4	534.0			Brush plate		4000000	VALEO	Hot runner on mini sprue			5400.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								A60110454			
TP-2002-04-50-229					2002	4	229.0			Brush plate		4000000	VALEO				12343.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A60110454			
TP-2010-04-30-387					2010	4	387.0			PASSE FILS SUPERIEUR T7		4200000	NIDEC			H								AVO El Fahs	Thermoplastic Injection			TP								In use								AA11106415F, AA11106416G			
TP-2012-02-25-535					2012	2	535.0			Retainer Renault		2000000	RENAULT			H	7200.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101615			
TP-2004-02-50-508					2004	2	508.0	20000	EURO	Connecteur surmoulé  DUCATO - 11TA		350000	NIDEC	Cold runner		H	2160.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100041			
ST-2011-01-50-640					2011	1	640.0			Insert Connecteur DUCATO - 11 TA		10000000	NIDEC			V	36000.0						2.76	AVO El Fahs	Stamping			ST								In use								A878422F			
ST-2009-01-XX-456					2009	1	456.0			Cosse		10000000	No tool owner			V							3.45	AVO Poitiers	Stamping			ST								In use								A60100474			
ST-2008-01-50-252					2008	1	252.0			Contact Plate		0	VALEO			V	61714.0							AVO El Fahs	Stamping			ST								In use								A60110455			
ST-2008-02-40-476					2008	2	476.0			Cosse (produit fini VA186866A)		1000000	VALEO			V	120000.0						2.99	AVO El Fahs	Stamping			ST								In use								A60101722			
ST-2008-01-40-314					2008	1	314.0			Cosse (produit fini VA634939A)		1000000	VALEO			V	32481.0						2.76	AVO El Fahs	Stamping			ST																A60101724			
ST-2011-01-30-477					2011	1	477.0			Cosse (produit fini VA518700A)		0	VALEO			V									Stamping			ST																A60101476			
TP-2002-04-50-236					2002	4	236.0			Capot AP PLAN 53841647 NOIR		4000000	VALEO				11520.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A53841647			
TP-2002-04-50-237					2002	4	237.0			CAPOT AP PLAN K09729198 GRIS		4000000	VALEO				8229.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A53844487			
ST-2003-01-60-238					2003	1	238.0			Plaquette Equipée		8000000	VALEO			V	57600.0						3.45	AVO El Fahs	Stamping			ST								Mold scraped											
TP-2000-08-250-184					2000	8	184.0			Chaussette Gauche		0	VALEO			V	2880.0							AVO El Fahs	Thermoplastic Injection			TP								Production end								A53860147			
TP-2002-04-60-239					2002	4	239.0			Support Arefix droit		4000000	VALEO				11520.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A53842137, A53842127, A53843207			
TP-2013-02-100-315					2013	2	315.0			Brush Holder F552 overmolded		2000000	TRICO	Cold runner		H	1800.0						3.91	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0067, C1915003			
TP-2012-04-100-679					2012	4	679.0			B&D Plastic bases - CN00652814		2000000	B & D				5760.0						2.99	AVO Kunshan	Thermoplastic Injection			TP								In use								B21110003			
ST-2012-01-80-996					2012	1	996.0			BRUSH BOX 652812-CAT1 DEWALT		1000000	B & D			V	10800.0						4.14	AVO Kunshan	Stamping			ST								In use								B21120004			
ST-2012-01-80-					2012	1				TERMINAL PLATE 652813-CAT1		0												AVO Kunshan	Stamping			ST																B21120005			
TP-2013-02-40-615					2013	2	615.0			Cover		1000000	Dong Yang				2469.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								D10170012			
TP-2013-04-100-614					2013	4	614.0			DY HB5 NEW brush holder		2000000	Dong Yang				6912.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								D10110005			
ST-2013-01-110-316					2013	1	316.0			Lead Frame F552		10000000	TRICO			V	36000.0						3.22	AVO Monterrey	Stamping			ST								In use											
TP-2013-04-100-569					2013	4	569.0			Brush holder		2000000	Dong Chang				5760.0						3.22	AVO Kunshan	Thermoplastic Injection			TP								In use								D21210001			
ST-2002-01-XX-240					2002	1	240.0			PLAQUETTE EQ.T3000 PL.60100089		0	VALEO			V								AVO El Fahs	Stamping			ST								Mold scraped								A60100089			
TP-1998-XX-XX-241					1998	XX	241.0			SUPPORT A BORNE STANDARD		0	VALEO											AVO El Fahs	Thermoplastic Injection			TP								Production end								A53350806			
TP-1998-XX-XX-269					1998	XX	269.0			SUPPORT A BORNE STANDARD NOIR		336000000	VALEO										2.76	AVO El Fahs	Thermoplastic Injection			TP								Production end								A53350616			
TP-2002-08-XXX-270					2002	8	270.0			RETAINER PPC FIRST		8000000	VALEO										2.99	AVO El Fahs	Thermoplastic Injection			TP								Production end								A53842877			
ST-2003-01-XX-271					2003	1	271.0			PLAQUETTE PC EQUIP GUIDE STAND		0	VALEO			V								AVO El Fahs	Stamping			ST								Mold scraped								A53290489P			
TP-2009-08-110-256					2009	8	256.0			Connector 3 ways		8000000	VALEO			H	24686.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								Mold scraped								V20210004			
TP-2008-08-150-257					2008	8	257.0			Trip ring SW4/VM4		8000000	VALEO	Cold runner		H	15709.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100532			
TP-2013-08-80-333					2013	8	333.0			Brush retainer TRICO		2400000	TRICO			H	9874.0						2.76	AVO Monterrey	Thermoplastic Injection			TP								Mold scraped								16-0043			
TP-2014-08-80-610					2014	8	610.0			Retainer TRICO		4000000	TRICO	cold sprue		H	15709.0						2.76	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0066			
TP-2012-04-150-510					2012	4	510.0			HOUSING		1000000	No tool owner	hot runner on mini sprue		H	12343.0						2.76	AVO Monterrey	Thermoplastic Injection			TP								In use								50-0718, 50-0656			
TP-2011-08-120-652					2011	8	652.0			Brush plate		4000000	B&D			H	11520.0						4.37	AVO Monterrey	Thermoplastic Injection			TP								In use								50-0691			
TP-2004-01-80-332					2004	1	332.0			Insulation plate		50000	BOSCH			H	1440.0						2.76	AVO Monterrey	Thermoplastic Injection			TP								In use								50-0650			
TP-2013-04-200-536					2013	4	536.0			Base plate		2000000	HILTI			H	4114.0						2.76	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100316			
TP-2012-16-80-511					2012	16	511.0			Plastic pin		4800000	HILTI			H	30052.0						2.76	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100183			
TP-2012-04-150-512					2012	4	512.0			COVER		2000000	No tool owner	Hot runner on mini sprue		H	12343.0						2.99	AVO Monterrey	Thermoplastic Injection			TP								In use								50-0657			
TP-2009-08-150-255					2009	8	255.0			Brush Retainer MNG2 		2000000	VALEO			H	23040.0						2.99	AVO Kunshan	Thermoplastic Injection			TP								Mold scraped								V20210003			
TP-2012-16-180-537					2012	16	537.0	22807	EURO	Brush Retainer MNG2 		9600000	VALEO			H	46080.0						2.99	AVO Kunshan	Thermoplastic Injection			TP								In use								V20210003, A53842867			
TP-2013-04-75-538					2013	4	538.0	13650	EURO	CONNECTEUR MAZDA B2E 10C45		4800000	NIDEC			H	3840.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use											
ST-2013-01-30-539					2013	1	539.0	34000	RmB	Insert connecteur		6000000	NIDEC			V	28800.0						2.99	AVO El Fahs	Stamping			ST								In use								A07106026H			
TP-2013-16-110-540					2013	16	540.0			10T Retainer		4000000	AVO			H	22297.0						2.76	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101522			
TP-2008-08-180-267					2008	8	267.0			Tower (T6J138Y01)		2400000	VALEO			H	13824.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100526, A10210003			
TS-XXXX-12-120-98					XXXX	12	98.0			TX 3006C/S HOLDER		0	No tool owner	Cold runner			6912.0							AVO Kunshan	Thermoset Injection			TS								In use											
TS-XXXX-12-120-99					XXXX	12	99.0			TX 3010A HOLDER		0	No tool owner	Cold runner			6732.0							AVO Kunshan	Thermoset Injection			TS								In use											
TS-XXXX-02-200-101					XXXX	2	101.0			FW Brush holder		0	VALEO	Cold runner			1440.0							AVO Kunshan	Thermoset Injection			TS								In use											
TS-XXXX-08-120-100					XXXX	8	100.0			FW Brush retainer ring		0	VALEO	Cold runner			9874.0							AVO Kunshan	Thermoset Injection			TS								In use											
TS-XXXX-08-120-97					XXXX	8	97.0			FW Plastic support		32000000	VALEO	Cold runner			9874.0							AVO Kunshan	Thermoset Injection			TS								In use											
ST-2010-01-80-478					2010	1	478.0			Brush holder MNG2 / MNG3 		5000000	VALEO			V	28800.0						4.14	AVO Kunshan	Stamping			ST								In use								V20220006			
ST-2010-01-80-479					2010	1	479.0			Brush Holder SW4/VM4		5000000	VALEO			V	21600.0						4.14	AVO El Fahs	Stamping			ST								In use								A60100531			
ST-2010-01-80-480					2010	1	480.0			Terminal FS2 for SW4		5000000	VALEO			V	43200.0						3.45	AVO Kunshan	Stamping			ST								In use								A10220007			
ST-2010-01-60-481					2010	1	481.0			SW4 Brass (CuZn37) contact		5000000	VALEO			V	43200.0						2.99	AVO Kunshan	Stamping			ST								In use								A10220008			
ST-2007-01-50-388					2007	1	388.0			SW4 Contact (version with door open)		5000000	VALEO			V	43200.0						4.14	AVO Kunshan	Stamping			ST								In use								A10220004			
ST-2011-01-60-513					2011	1	513.0			Brush Holder		5000000	VALEO			V	43200.0						3.45	AVO Kunshan	Stamping			ST								In use								V10320002			
ST-2010-01-80-482					2010	1	482.0			Terminal FS1 SW4		5000000	VALEO			V	43200.0						3.45	AVO Kunshan	Stamping			ST								In use								A10220006			
ST-2013-01-45-541					2013	1	541.0			Terminal A-TE-0021		1000000	AVO			V	28800.0						2.99	AVO Tianjin	Stamping			ST								In use								A-TE-0021			
ST-2005-XX-XX-349					2005	XX	349.0			Terminal		2000000	B & D			V							2.99	AVO Tianjin	Stamping			ST								In use								A-TE-0007			
ST-2012-XX-XX-514					2012	XX	514.0			Terminal		100000	No tool owner			V							2.53	AVO Tianjin	Stamping			ST								In use								A-TE-0019			
ST-2012-XX-XX-542					2012	XX	542.0			Terminal		100000	No tool owner			V							2.53	AVO Tianjin	Stamping			ST								In use								4			
ST-2013-XX-XX-543					2013	XX	543.0			Terminal		1000000	LETRIKA			V	28800.0						2.99	AVO Tianjin	Stamping			ST								In use								A-TE-0014			
ST-2013-XX-XX-544					2013	XX	544.0			Terminal		1000000	No tool owner			V								AVO Tianjin	Stamping			ST								In use											
ST-2013-01-40-545					2013	1	545.0	3500	EURO	Terminal for Connector CORSA PUNTO		3000000	NIDEC			V	43200.0						2.99	AVO El Fahs	Stamping			ST								In use								AA13106634G			
ST-2013-XX-XX-559					2013	XX	559.0			Lada brush plate		10000000					3600.0							AVO Kunshan	Stamping			ST								In use											
ST-2006-01-XXX-390					2006	1	390.0			GUIDE 		10000000	SAMSUNG			V							3.22	AVO Korea	Stamping			ST								In use								20-1200-121			
ST-2006-01-XXX-391					2006	1	391.0			GUIDE 		10000000	SAMSUNG			V							3.22	AVO Korea	Stamping			ST								In use								20-1300-010			
ST-2006-01-XXX-392					2006	1	392.0			GUIDE 		10000000	SAMSUNG			V							3.22	AVO Korea	Stamping			ST								In use								20-1300-012			
ST-2006-01-XXX-393					2006	1	393.0			GUIDE 		10000000	SAMSUNG			V							3.22	AVO Korea	Stamping			ST								In use								20-1300-012			
ST-2006-01-XXX-394					2006	1	394.0			GUIDE 		10000000	SAMSUNG			V							3.22	AVO Korea	Stamping			ST								In use								20-1500-012			
ST-2006-01-XXX-395					2006	1	395.0			TERMINAL 		10000000	SAMSUNG			V							3.22	AVO Korea	Stamping			ST								In use								20-1500-012			
ST-2006-01-XXX-396					2006	1	396.0			TERMINAL		10000000	SAMSUNG			V							2.99	AVO Korea	Stamping			ST								In use								20-1300-141			
ST-2006-01-XXX-397					2006	1	397.0			GUIDE		10000000	SAMSUNG			V							2.76	AVO Korea	Stamping			ST								In use								20-1200-140			
TP-2006-12-XXX-398					2006	12	398.0			HOLDER		3000000	SAMSUNG										2.99	AVO Korea	Thermoplastic Injection			TP								Production end								20-1500-013			
TP-2006-08-XXX-399					2006	8	399.0			HOLDER		2000000	SAMSUNG										2.99	AVO Korea	Thermoplastic Injection			TP								Production end								20-1300-200			
TP-2006-12-XXX-400					2006	12	400.0			HOLDER		3000000	SAMSUNG										2.99	AVO Korea	Thermoplastic Injection			TP								Production end								20-1300-007			
ST-2013-XX-XX-560					2013	XX	560.0			MNG2		0												AVO Kunshan	Stamping			ST																			
TS-2013-04-100-568					2013	4	568.0			PFC brush plate		0	Dong Yang	Cold runner									3.22	AVO Kunshan	Thermoset Injection			TS								In use								D11310018			
ST-2013-XX-XX-561					2013	XX	561.0			MK PLATE ZD1432-361A		0												AVO Kunshan	Stamping			ST																			
ST-2013-XX-XX-562					2013	XX	562.0			SW3 PLATE ZD15313-321		0												AVO Kunshan	Stamping			ST																			
TS-2013-04-XX-617					2013	4	617.0			brush plate		0	Dong Yang	Cold runner										AVO Kunshan	Thermoset Injection			TS																			
ST-2013-XX-XX-563					2013	XX	563.0			SW4 brush plate (Family Wiper Chine)		0												AVO Kunshan	Stamping			ST																			
TS-2004-04-130-132					2004	4	132.0			Brush box		2000000	VALEO	Cold runner		H	3456.0							AVO Monterrey	Thermoset Injection			TS								Mold scraped											
TS-2004-04-130-131					2004	4	131.0			Brush box		2000000	VALEO	Cold runner		H	3456.0							AVO Monterrey	Thermoset Injection			TS								Mold scraped											
TS-2004-04-130-130					2004	4	130.0			Brush box		2000000	VALEO	Cold runner		H	3456.0							AVO Monterrey	Thermoset Injection			TS								Mold scraped											
TS-2003-04-130-129					2003	4	129.0			Brush box		2000000	VALEO	Cold runner		H	3456.0						3.45	AVO Monterrey	Thermoset Injection			TS								Mold scraped								50-0428			
TS-2003-04-130-128					2003	4	128.0			Brush box		2000000	VALEO	Cold runner		H	3456.0						3.45	AVO Monterrey	Thermoset Injection			TS								Mold scraped								50-0428			
TS-2003-04-130-127					2003	4	127.0			Brush box		2000000	VALEO	Cold runner		H	3456.0						3.45	AVO Monterrey	Thermoset Injection			TS								Mold scraped								50-0428			
TS-2010-04-130-266					2010	4	266.0			Brush box		2000000	VALEO	Cold runner		H	3456.0						3.45	AVO Monterrey	Thermoset Injection			TS								Mold scraped								50-0428			
TS-2011-04-130-483					2011	4	483.0			Brush box		2000000	VALEO	Cold runner		H	3456.0						3.45	AVO Monterrey	Thermoset Injection			TS								Mold scraped								50-0428			
TS-2013-04-130-546					2013	4	546.0			Brush box		2000000	VALEO	Cold runner		H	3456.0						3.45	AVO Monterrey	Thermoset Injection			TS								Mold scraped								50-0428			
TP-2013-08-120-380					2013	8	380.0			Grommet LXB		8000000	COMSTAR										4.37	AVO Chennai	Thermoplastic Injection			TP								In use								80701003			
TP-2003-04-165-265					2003	4	265.0			GW Right Hand brush plate		4000000	VALEO				8229.0							AVO Monterrey	Thermoplastic Injection			TP								Mold scraped											
TP-2003-04-165-264					2003	4	264.0			GW Right Hand brush plate		4000000	VALEO				8229.0							AVO Monterrey	Thermoplastic Injection			TP								Mold scraped											
TP-2007-04-165-401					2007	4	401.0			GW Right Hand brush plate		4000000	VALEO	HR on sprue		H	8229.0							AVO Monterrey	Thermoplastic Injection			TP								Mold scraped											
TP-2003-08-165-263					2003	8	263.0			GW Left Hand brush plate		4000000	VALEO				8640.0						4.37	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0015			
TP-2003-08-110-262					2003	8	262.0			GW seal		8000000	VALEO				17280.0							AVO Monterrey	Thermoplastic Injection			TP								Mold scraped											
TP-2003-06-60-261					2003	6	261.0			GW Brush retainer		6000000	VALEO				28800.0							AVO Monterrey	Thermoplastic Injection			TP								Mold scraped											
TP-2007-06-60-402					2007	6	402.0			GW Brush retainer		6000000	VALEO	Cold runner		H	28800.0							AVO Monterrey	Thermoplastic Injection			TP								Mold scraped											
TP-2003-04-60-260					2003	4	260.0			GW Brush retainer		4000000	VALEO	cold runner		H	19200.0							AVO Monterrey	Thermoplastic Injection			TP								Mold scraped											
TP-2003-08-95-258					2003	8	258.0			PPC First 		8000000	VALEO				17280.0							AVO Monterrey	Thermoplastic Injection			TP								Mold scraped											
TP-2012-08-95-547					2012	8	547.0			PPC First 		11318000	VALEO				17280.0							AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2003-04-35-350					2003	4	350.0			Molded RFI Filter		4000000	AIRTEX			X	3429.0							AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2003-02-60-351					2003	2	351.0			Shell		2000000	AIRTEX				11676.0							AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2003-06-95-352					2003	6	352.0			Grommet LXB		6000000	COMSTAR	Cold runner		H	8416.0							AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2003-16-130-353					2003	16	353.0			Old Gen Grommet		16000000	PM				15709.0						2.53	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0007			
TP-2003-04-35-354					2003	4	354.0			RFI Filter Assembly		4000000	AIRTEX			X	4114.0							AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2003-16-130-355					2003	16	355.0			New Gen Grommet		16000000	PM				12343.0						2.53	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0010A			
TP-2003-02-60-357					2003	2	357.0			Spring retainer		2000000	Federal Mogul				7200.0						2.76	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0020			
ST-XXXX-01-XX-109					XXXX	1	109.0			Terminal		0	No tool owner			V	43200.0							AVO Chennai	Stamping			ST								In use											
ST-2013-01-63-548					2013	1	548.0			Brush holder		1000000	COMSTAR			V	14400.0							AVO Chennai	Stamping			ST								In use											
ST-2013-01-63-549					2013	1	549.0			Brush holder		1000000	COMSTAR			V	14400.0							AVO Chennai	Stamping			ST								In use											
ST-2017-01-63-105					2017	1	105.0			Brush holder		1000000	COMSTAR				14400.0							AVO Chennai	Stamping			ST								In use											
ST-2013-01-40-550					2013	1	550.0			Bush bar		1000000	COMSTAR			V	3600.0						2.99	AVO Chennai	Stamping			ST								In use								40301044			
ST-2016-01-40-106					2016	1	106.0			terminal		1000000	No tool owner			V	43200.0						2.76	AVO Chennai	Stamping			ST								In use								40201014			
ST-2016-01-40-					2016	1				terminal		1000000	No tool owner			V	43200.0						2.99	AVO Chennai	Stamping			ST								In use								40301013, 40301033, 40301044			
TS-2006-12-210-386					2006	12	386.0			Brush guide		0	No tool owner	Cold runner		H	5760.0							AVO Chennai	Thermoset Injection			TS								Mold scraped											
TS-2002-12-100-187					2002	12	187.0			Brush guide		0	No tool owner	Cold runner		H	240.0							AVO Chennai	Thermoset Injection			TS								In use											
TS-2013-12-210-551					2013	12	551.0			Brush guide		0	No tool owner	Cold runner		H	5760.0							AVO Chennai	Thermoset Injection			TS								In use											
ST-2013-01-40-552					2013	1	552.0			Terminal		2000000	COMSTAR			V	10800.0						2.99	AVO Chennai	Stamping			ST								In use								40201023			
TP-2003-16-60-362					2003	16	362.0			Pin blue		16000000	No tool owner				69120.0						2.53	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0001			
TP-2003-08-60-363					2003	8	363.0			Plastic conector First		5600000	VALEO	Cold runner		H	31418.0						3.68	AVO Monterrey	Thermoplastic Injection			TP								In use								50-0544			
ST-2012-02-80-515					2012	2	515.0	14000	EURO	Lead frame FLEX (Patte de masse flex)		2000000000	VALEO			V	302400.0						3.45	AVO El Fahs	Stamping			ST								In use								A60101177			
TP-2013-16-150-553					2013	16	553.0			Connector 3 ways		9600000	VALEO			H	24686.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								V20210004			
TP-2013-04-150-554					2013	4	554.0	13650	EURO	Integrated connector CORSA GM		2000000	NIDEC	Cold runner		H	3142.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA13106628J, AA13106658M			
TP-2013-04-150-616					2013	4	616.0			ETC brush holder		2000000	Dong Chang			H	5400.0						3.22	AVO Kunshan	Thermoplastic Injection			TP								In use								D21240013			
